codigo,codigoUf,nomeUf,nomeUfSigla,codigoIbge,Nome,capital
120,13,Amazonas,AM,1302900,Maués,false
121,13,Amazonas,AM,1303007,Nhamundá,false
122,13,Amazonas,AM,1303106,Nova Olinda do Norte,false
123,13,Amazonas,AM,1303205,Novo Airão,false
124,13,Amazonas,AM,1303304,Novo Aripuanã,false
125,13,Amazonas,AM,1303403,Parintins,false
126,13,Amazonas,AM,1303502,Pauini,false
127,13,Amazonas,AM,1303536,Presidente Figueiredo,false
128,13,Amazonas,AM,1303569,Rio Preto da Eva,false
129,13,Amazonas,AM,1303601,Santa Isabel do Rio Negro,false
130,13,Amazonas,AM,1303700,Santo Antônio do Içá,false
131,13,Amazonas,AM,1303809,São Gabriel da Cachoeira,false
132,13,Amazonas,AM,1303908,São Paulo de Olivença,false
133,13,Amazonas,AM,1303957,São Sebastião do Uatumã,false
134,13,Amazonas,AM,1304005,Silves,false
135,13,Amazonas,AM,1304062,Tabatinga,false
136,13,Amazonas,AM,1304104,Tapauá,false
137,13,Amazonas,AM,1304203,Tefé,false
138,13,Amazonas,AM,1304237,Tonantins,false
139,13,Amazonas,AM,1304260,Uarini,false
140,13,Amazonas,AM,1304302,Urucará,false
141,13,Amazonas,AM,1304401,Urucurituba,false
142,14,Roraima,RR,1400027,Amajari,false
143,14,Roraima,RR,1400050,Alto Alegre,false
144,14,Roraima,RR,1400100,Boa Vista,true
145,14,Roraima,RR,1400159,Bonfim,false
146,14,Roraima,RR,1400175,Cantá,false
147,14,Roraima,RR,1400209,Caracaraí,false
148,14,Roraima,RR,1400233,Caroebe,false
149,14,Roraima,RR,1400282,Iracema,false
150,14,Roraima,RR,1400308,Mucajaí,false
151,14,Roraima,RR,1400407,Normandia,false
152,14,Roraima,RR,1400456,Pacaraima,false
153,14,Roraima,RR,1400472,Rorainópolis,false
154,14,Roraima,RR,1400506,São João da Baliza,false
155,14,Roraima,RR,1400605,São Luiz,false
156,14,Roraima,RR,1400704,Uiramutã,false
157,15,Pará,PA,1500107,Abaetetuba,false
158,15,Pará,PA,1500131,Abel Figueiredo,false
159,15,Pará,PA,1500206,Acará,false
160,15,Pará,PA,1500305,Afuá,false
161,15,Pará,PA,1500347,Água Azul do Norte,false
162,15,Pará,PA,1500404,Alenquer,false
163,15,Pará,PA,1500503,Almeirim,false
164,15,Pará,PA,1500602,Altamira,false
165,15,Pará,PA,1500701,Anajás,false
166,15,Pará,PA,1500800,Ananindeua,false
167,15,Pará,PA,1500859,Anapu,false
168,15,Pará,PA,1500909,Augusto Corrêa,false
169,15,Pará,PA,1500958,Aurora do Pará,false
170,15,Pará,PA,1501006,Aveiro,false
171,15,Pará,PA,1501105,Bagre,false
172,15,Pará,PA,1501204,Baião,false
173,15,Pará,PA,1501253,Bannach,false
174,15,Pará,PA,1501303,Barcarena,false
175,15,Pará,PA,1501402,Belém,true
176,15,Pará,PA,1501451,Belterra,false
177,15,Pará,PA,1501501,Benevides,false
178,15,Pará,PA,1501576,Bom Jesus do Tocantins,false
179,15,Pará,PA,1501600,Bonito,false
180,15,Pará,PA,1501709,Bragança,false
181,15,Pará,PA,1501725,Brasil Novo,false
182,15,Pará,PA,1501758,Brejo Grande do Araguaia,false
183,15,Pará,PA,1501782,Breu Branco,false
184,15,Pará,PA,1501808,Breves,false
185,15,Pará,PA,1501907,Bujaru,false
186,15,Pará,PA,1501956,Cachoeira do Piriá,false
187,15,Pará,PA,1502004,Cachoeira do Arari,false
188,15,Pará,PA,1502103,Cametá,false
189,15,Pará,PA,1502152,Canaã dos Carajás,false
190,15,Pará,PA,1502202,Capanema,false
191,15,Pará,PA,1502301,Capitão Poço,false
192,15,Pará,PA,1502400,Castanhal,false
193,15,Pará,PA,1502509,Chaves,false
194,15,Pará,PA,1502608,Colares,false
195,15,Pará,PA,1502707,Conceição do Araguaia,false
196,15,Pará,PA,1502756,Concórdia do Pará,false
197,15,Pará,PA,1502764,Cumaru do Norte,false
198,15,Pará,PA,1502772,Curionópolis,false
199,15,Pará,PA,1502806,Curralinho,false
200,15,Pará,PA,1502855,Curuá,false
201,15,Pará,PA,1502905,Curuçá,false
202,15,Pará,PA,1502939,Dom Eliseu,false
203,15,Pará,PA,1502954,Eldorado do Carajás,false
204,15,Pará,PA,1503002,Faro,false
205,15,Pará,PA,1503044,Floresta do Araguaia,false
206,15,Pará,PA,1503077,Garrafão do Norte,false
207,15,Pará,PA,1503093,Goianésia do Pará,false
208,15,Pará,PA,1503101,Gurupá,false
209,15,Pará,PA,1503200,Igarapé-Açu,false
210,15,Pará,PA,1503309,Igarapé-Miri,false
211,15,Pará,PA,1503408,Inhangapi,false
212,15,Pará,PA,1503457,Ipixuna do Pará,false
213,15,Pará,PA,1503507,Irituia,false
214,15,Pará,PA,1503606,Itaituba,false
215,15,Pará,PA,1503705,Itupiranga,false
216,15,Pará,PA,1503754,Jacareacanga,false
217,15,Pará,PA,1503804,Jacundá,false
218,15,Pará,PA,1503903,Juruti,false
219,15,Pará,PA,1504000,Limoeiro do Ajuru,false
220,15,Pará,PA,1504059,Mãe do Rio,false
221,15,Pará,PA,1504109,Magalhães Barata,false
222,15,Pará,PA,1504208,Marabá,false
223,15,Pará,PA,1504307,Maracanã,false
224,15,Pará,PA,1504406,Marapanim,false
225,15,Pará,PA,1504422,Marituba,false
226,15,Pará,PA,1504455,Medicilândia,false
227,15,Pará,PA,1504505,Melgaço,false
228,15,Pará,PA,1504604,Mocajuba,false
229,15,Pará,PA,1504703,Moju,false
230,15,Pará,PA,1504752,Mojuí dos Campos,false
231,15,Pará,PA,1504802,Monte Alegre,false
232,15,Pará,PA,1504901,Muaná,false
233,15,Pará,PA,1504950,Nova Esperança do Piriá,false
234,15,Pará,PA,1504976,Nova Ipixuna,false
